Parti,Cumle,PozSkor,NegSkor,algoritma_kod
AKP,"Milli Savunma Sanayii •	 Tüm insanlığa hizmet edecek şekilde, caydırıcı güç statümüzü koruya- rak huzur ve barış ortamını güçlendirmek ve sürdürülebilir refah artışı  sağlamak üzere savunma sanayii teknolojisindeki atılımlarımızı sürdü- receğiz.",2,0,pozitif
AKP,•	 Yerli ve millî savunma sanayimiz ile yenilikçi ve çığır açan teknolojilere  yatırım yapmaya devam edecek ve yerlileşme oranını daha da artıra- cağız.,2,0,pozitif
AKP,"•	 Milli muharip uçak, dikey iniş/kalkış yapabilen SİHA’lar ve muharip in- sansız uçaklar ile insansız kara ve deniz araçları, uydu sistemleri, elekt- ronik harp, siber güvenlik, uzun menzilli hava savunma ve füze sistem- leri, nanoteknoloji, bioteknoloji, lazer, kuantum teknolojileri ve yapay  zekâ destekli otonom sistemler gibi yenilikçi ve çığır açan teknolojilere  yatırım yaparak savunma sanayiimize yeni kabiliyetler kazandıracağız.",3,0,pozitif
AKP,"•	 İnsansız Hava Aracı teknolojileri alanında ortaya koyduğumuz başarıları  özellikle insansız otonom sistemler, yapay zekâ uygulamaları, akıllı si- lah sistemleri konularında ülkemizi dünyada en ileri noktaya taşıyacak  stratejilerle destekleyeceğiz.",1,0,pozitif
AKP,"•	 Tasarım, üretim, bakım, onarım ve modernizasyonda yerli ve sürdürü- lebilir ileri teknoloji merkezi olacağız.",3,0,pozitif
AKP,•	 Savunma sanayiinde yerlileşme ve millileşme arttıkça firmalarımızın  sivil endüstrilerde kullanacağı teknolojik kabiliyetler de gelişmektedir.,0,0,nötr
AKP,Bu süreci daha sistemli bir şekilde ele alacak ve sivil alanlara teknoloji  transferini hızlandırıcı platformları ve mekanizmaları geliştireceğiz.,0,0,nötr
AKP,"Dijitalleşme ve Dijital Dönüşüm •	 Türkiye Yüzyılı, Dijitalin Yüzyılı olacaktır.",0,0,nötr
AKP,"Bu yüzyılda dijital devlet, si- ber güvenlik, büyük veri ve yapay zekâ, blokzincir gibi yenilikçi dijital  teknolojilerde gerçekleştireceğimiz atılımlarla, ülkemizi Dijital Türkiye  hedefine ulaştıracağız.",0,0,nötr
AKP,•	 Yapay Zeka Stratejimiz ile yapay zekâ alanının GSYH’ye katkısını yüzde  5’in üzerine çıkaracağız.,0,0,nötr
AKP,"•	 Yapay Zeka alanında 50.000 kişi istihdam edilmesini, lisansüstü dü- zeyde 10.000 mezun sayısına ulaşmayı ve uluslararası yapay zeka en- dekslerindeki sıralamalarda Türkiye’nin ilk 20 ülke arasında yer almasını  sağlayacağız.",0,0,nötr
AKP,•	 Yerli yapay zeka dil modellerimizi geliştireceğiz.,1,0,pozitif
AKP,•	 Ülkemizi dijital dönüşümü ilgilendiren uluslararası endekslerde ilk 10’a  taşıyacağız.,0,0,nötr
AKP,"•	 Dijital dönüşümü bir fırsata çevirmek ve işgücü piyasası üzerindeki  olası olumsuz etkilerini en aza indirmeye yönelik olarak mesleki eğitim  başta olmak üzere müfredatı eğitimin her kademesinde dijital dönüşü- me uyumlu, bütüncül ve sürdürülebilir bir yapıda yeniden ele alacağız.",0,0,nötr
AKP,•	 Geliştirdiğimiz kavramsal tasarım ve kriptolojik altyapı ile test sürecini  başlattığımız yeni nesil dijital Türk Lirası projesini hayata geçireceğiz.,1,0,pozitif
AKP,Yüksek Teknolojilerde Öncü Türkiye/ Teknoloji Devrimi •	 Ülkemizi kritik teknolojilerin pazarı değil üreticisi yapacak Milli Teknoloji  Hamlesi vizyonu doğrultusunda adımlar atmaya devam edeceğiz.,2,0,pozitif
AKP,•	 Ulusal Teknoloji Girişimciliği Stratejisi kapsamında dünyanın en geliş- miş 20 ekosistemi arasında yer almayı ve ekosistemimizden 15 Turcorn  ve 5 Decacorn çıkaracağız.,0,0,nötr
AKP,•	 Yüksek teknolojili sanayilerin imalat sanayii ihracatındaki payını OECD  ortalamalarına ulaştıracağız.,0,0,nötr
AKP,"Bu doğrultuda, yüksek teknoloji yoğun- luklu ürünlerin ihracatı için kapsamlı ihracat destek programlarını oluş- turacağız.",2,0,pozitif
AKP,"•	 Hızlı şarj teknolojileri, enerji yoğunluğu yüksek batarya hücre tekno- lojileri, havayolu ulaşımına alternatif ulaşım sistemleri ve tam otonom  (sürücüsüz) mobilite sistemlerinde öncü bir ülke olacağız.",1,0,pozitif
AKP,"•	 Stratejik yüksek teknoloji ürünlerinden mikroçiplerin tasarım, üretim ve  ticarileşmesi için başta İstanbul ve Ankara illerimiz olmak üzere özel  sektörü çok yıllı olacak şekilde destekleyeceğiz.",1,0,pozitif
AKP,"Ulaştırma ve Haberleşme •	 2053 net sıfır emisyon hedefimiz doğrultusunda, emisyon yoğun sek- törlerden biri olan ulaştırma sektöründe yatırımlarımızı yeni teknolojileri  en üst düzeyde kullanarak ve yeşil dönüşüme uyumu dikkate alarak  gözden geçirecek, akıllı ve sürdürülebilir ulaşım uygulamalarını geliş- tireceğiz.",1,0,pozitif
AKP,"•	 İnternet altyapımızı dünya standartlarına uygun şekilde geliştirme ça- lışmalarımıza hızla devam edecek, 100 Mbit/saniye internet hizmetini  her eve ulaştıracak, 5G teknolojisi ile yüzde 100 oranında nüfus kap- saması sağlayacak, 6G teknolojisine yönelik çalışmaları başlatacağız.",0,0,nötr
AKP,"•	 Ürün doğrulama, rekolte tahmini, yapay zeka, coğrafi bilgi sistemle- ri, algoritma gibi teknolojik gelişmeleri kullanacağız, Entegre İdare ve  Kontrol Sistemi’ni hayata geçireceğiz.",0,0,nötr
AKP,"•	 Afetleri de dikkate alarak kentsel gelişme, sanayi-lojistik, yeşil büyü- me, dijitalleşme, Ar-Ge ve yenilik, girişimcilik, sosyal gelişme ve kırsal  kalkınma alanlarındaki stratejilerimizi uygulamaya koyacağız.",2,0,pozitif
AKP,•	 Dijital oylama ve müzakere yöntemleri geliştirerek ‘‘e-demokrasi’’ plat- formu oluşturacağız.,0,0,nötr
AKP,"Türkiye Yüzyılı'na Yeni Anayasa •	 Milletin kendi iradesi ve kendi eliyle yaptığı, her bir vatandaşımızın  “içinde ben varım”, “benim iradem var” dediği YENİ ANAYASA, •	 Yaşam hakkını, düşünce ve kanaat özgürlüğünü, inancı ve inandığını  yaşama özgürlüğünü, aileyi, toplumu ve mülkiyet hakkını koruyan YENİ  ANAYASA, •	 Bir daha hiç kimsenin başörtüsü zulmü gibi çağdışı uygulamalara, zor- balık ve baskılara tevessül etmesine dahi izin vermeyen, daima özgür- lükçü, milletin öz değerlerinin tapusu YENİ ANAYASA, •	 Irk, din, mezhep, dil, renk ve kültür farkı gözetmeden herkesi kuşa- tan, insan onuru ortak temelinde buluşturan, kucaklayıcı, bütünleştirici,  çeşitlilikte birliği savunan, herkesin birinci sınıf vatandaş olduğu YENİ  ANAYASA, •	 İnsan hak ve özgürlüklerini güvence altına alan; bütün kurum ve kural- ları ile insanı haklarıyla yaşatmayı ilke edinen YENİ ANAYASA,  73 T Ü R K İ Y E  Y Ü Z Y I L I  İ ç i n  D o ğ r u  A d ı m l a r •	 İnsanın maddi ve manevi varlığını bütün tercihleri ve inançlarıyla öz- gür biçimde gerçekleştireceği demokratikbir toplumu inşa eden YENİ  ANAYASA, •	 Devleti ve bütün kurumlarını insanımıza ve milletimize hizmet aracı ola- rak gören “İnsanı Yaşat ki, Devlet Yaşasın” anlayışıyla hazırlanmış YENİ  ANAYASA, •	 Egemenliğin sahibi milletin demokratik meşru temsilcilerinin önündeki  her türlü vesayeti ortadan kaldıran YENİ ANAYASA, •	 Devletin milleti ile bölünmez bütünlüğünü ve üniter yapıyı teminat altı- na alan YENİ ANAYASA, •	 Yasama, yürütme ve yargı güçlerinin meşruiyetini milletten aldığı; güç- ler ayrılığını pekiştiren ve bununla birlikte güçlerin eşgüdümünü sağla- yarak millete hizmeti birinci öncelik sayan YENİ ANAYASA, •	 Demokratik katılımı genişleten, siyasal katılımın önündeki vesayetlere  izin vermeyen ve bilgi teknolojileri ile vatandaşımızın yönetim süreçle- rine ortaklığını temin eden YENİ ANAYASA, Çoğulcu bir toplumsal ve  siyasal yapı kuran, istikrarlı ve etkili hükümet modelini daha da gelişti- ren YENİ ANAYASA,  •	 Özgürlükçü ve demokratik Cumhuriyet anlayışının kazanımlarını daha  da ileriye götürmeyi amaçlayan YENİ ANAYASA, •	 Hukukun üstünlüğünü esas alan, yargı bağımsızlığı ve tarafsızlığı te- melinde kurumsal yapılanmayı ve işleyişi temin eden YENİ ANAYASA, •	 Milletimizin değerlerini temel alan ve evrensel değer ve normları göze- ten YENİ ANAYASA, •	 En geniş mutabakatla ve demokratik yöntemlerle hazırlanmış, geniş  toplumsal kesimlerce sahiplenilen YENİ ANAYASA, •	 Türkiye Yüzyılı hedeflerimize ulaşmayı kolaylaştıracak etkin ve sağlıklı  bir kurumsal yapılanmayı tesis eden YENİ ANAYASA, •	 Milletimizin beklentisidir.",2,0,pozitif
AKP,•	 Dijital tehditlere karşı özel hayatın mahremiyeti korunacak.,0,0,nötr
AKP,"•	 Adliye bulunmayan ilçelerimizde personeliyle, dijital alt yapısıyla adli  hizmet irtibat noktası oluşturacağız.",0,0,nötr
AKP,"•	 Teknolojinin tüm imkânlarının kullanıldığı, esnek ve çok yönlü bir tebli- gat sistemi oluşturarak yargılamaları hızlandıracağız.",0,0,nötr
AKP,81 T Ü R K İ Y E  Y Ü Z Y I L I  İ ç i n  D o ğ r u  A d ı m l a r •	 Tehdit altındaki kadınların daha etkin korunmasını sağlamak için önle- yici ve koruyucu kapasiteyi artıracak ve bu kapsamda teknolojik im- kânlardan da azami ölçüde yararlanmaya devam edeceğiz.,0,1,negatif
AKP,Çağın kolaylıklarını adalet hizmetlerine  sunmak için; •	 Bilişim sistemimizi yeni teknolojilerle daha da ileriye taşıyacağız.,1,0,pozitif
AKP,•	 Dijital çözüm platformlarını ve çevrimiçi uyuşmazlık çözüm yöntemleri- ni sistemimize kazandırarak uyuşmazlıkların daha hızlı ve kolay çözül- mesini sağlayacağız.,1,0,pozitif
AKP,"•	 Milli İstihbarat Teşkilatımızın teknolojik kabiliyetlerini başta siber istih- barat, kriptoloji, sinyal istihbaratı, büyük veri analizi, yapay zekâ, uydu  ve uzaydan istihbarat toplama teknolojileri olmak üzere tüm kritik alan- larda geliştirmeyi sürdüreceğiz.",1,0,pozitif
AKP,"•	 Yurt dışında üniversite eğitimi alan gençlerimizin teknoloji, diplomasi,  hukuk, iletişim gibi alanlarda ülkemizde staj yapmalarını kolaylaştıra- cağız.",0,0,nötr
AKP,"Ekonomik,  siyasi ve askeri-teknolojik alandaki ortak projelerle Türk Dünyası’nın is- tikrar ve refahına katkıda bulunacağız.",0,0,nötr
AKP,98 T Ü R K İ Y E  Y Ü Z Y I L I  İ ç i n  D o ğ r u  A d ı m l a r •	 UNDP İstanbul Uluslararası Özel Sektör ve Kalkınma Merkezi ve BM  Teknoloji Bankası gibi kuruluşların proje ve program bazlı işbirliği çaba- larına aktif destek sağlayacağız.,2,0,pozitif
AKP,"Dijital Dönüşüm Prog- ramı, İSEDAK KOBİ programlarını etkin bir biçimde uygulayacağız.",0,0,nötr
AKP,•	 Siber vatanımızı ve uzaydaki haklarımızı korumak için tüm teknolojik  tedbirleri alarak gerekli yetenekleri geliştireceğiz.,0,0,nötr
AKP,"Yüzyılda, küresel ölçekte suçun miktarı ve çeşitliliğinde yaşanan  artışa karşı teslim olmamak, önleyici bir anlayışla ve yüksek teknolojiyi  kullanarak çalışmak bu alandaki faaliyetlerimizin esası olacaktır.",0,0,nötr
AKP,"•	 Teknolojinin getirdiği imkanları kullanmanın yanı sıra, teknolojinin ge- tirdiği Siber Suçlar ve Siber Terör gibi yeni suç başlıklarıyla da ciddi  şekilde mücadele etmeyi stratejik öncelik olarak değerlendiriyoruz.",1,1,nötr
AKP,"Güçlü Nüfus, Güçlü Türkiye •	 Son yıllarda bir yandan dijitalleşme ve teknoloji kullanımında attığımız  adımlarla, bir yandan da yeni nüfus müdürlüğü konseptimizle vatan- daşlarımıza daha nitelikli, daha konforlu, bürokratik yükü azaltılmış,  kağıt kullanımı olmayan yüksek standartta bir hizmet sunma imkânına  kavuştuk.",1,0,pozitif
AKP,Dijital ortama aktarılan hizmetlerin ka- litesinin geliştirilmesi ve vatandaş odaklı yaklaşımımızla iş süreçlerini  sürekli iyileştireceğiz.,0,0,nötr
AKP,"121 T Ü R K İ Y E  Y Ü Z Y I L I  İ ç i n  D o ğ r u  A d ı m l a r •	 CİMER, Türkiye Yüzyılı’nda dijitalleşme başta olmak üzere gelişen ve  değişen koşullar çerçevesinde etkinliğini daha da artırmaya devam  edecek ve kurumlar arası koordinasyona ilişkin yüklendiği misyonlarla  birlikte hizmet kapasitesini artıracaktır.",0,0,nötr
AKP,"•	 Bilişim ve teknoloji şirketlerinin iletişim platformları üzerinden vatan- daşlarımızın dijital ayak izlerini takip etmesine, veri mahremiyetini ihlal  etmesine ve siyasal katılma davranışını manipüle etmesine asla mü- saade etmeyeceğiz.",0,1,negatif
AKP,Bu noktada teknolojinin sunduğu imkanları sonu- na kadar değerlendirmeye devam edeceğiz.,0,0,nötr
AKP,"Bu esaslar; Barışın Yüzyılı,  Dijitalin Yüzyılı, İstikbalin Yüzyılı, Kalkınmanın Yüzyılı, Gücün Yüzyılı,  Sürdürülebilirliğin Yüzyılı, Haklının Yüzyılı, Huzurun Yüzyılı, İletişimin  Yüzyılı, Başarının Yüzyılı, Bilimin Yüzyılı, Değerlerin Yüzyılı, Gençliğin  Yüzyılı, İstikrarın Yüzyılı, Şefkatin Yüzyılı, Üretimin Yüzyılı, Verimliliğin  Yüzyılı’dır.",0,0,nötr
AKP,Atatürk’ün “Benim manevi mirasım ilim ve akıldır.” sözünü benimseye- rek ülkemizde teknolojinin ilerleyişini ve teknolojinin insanları ne şekilde  etkilediğini doğru şekilde okuduğumuz bilimsel bir devrim yaşıyoruz.,1,0,pozitif
AKP,"Bilimsel kul- varda insanlığın yaşam kalitesini artıracak kamu ve özel sektördeki ino- vatif yatırımlar, teknoloji tabanlı büyümedeki gücümüzün hızı olacaktır.",0,0,nötr
AKP,"Bakanlıklarımızın sunduğu her  hizmetin, yaş, bölge, şehir, cinsiyet fark etmeksizin tüm vatandaşlarımıza  eşit ve adil bir şekilde ulaştırılmasını sağlayacak dijital dönüşümü gerçek- leştiriyoruz.",0,0,nötr
AKP,"Yalnızca vatanın dört bir tarafında değil, yurt dışında yaşayan  vatandaşlarımızın da dijital dönüşüm ile en zor zamanlarında dahi yanı  başlarındayız.",0,0,nötr
AKP,"Cumhurbaşkanlığı yönetim sisteminde,  tüm devlet kurumlarının ahenkli çalışması ve özel sektörün bu istikrarlı  yapıya üretim artışı ile destek vermesi sağlık, sanayi, eğitim ve teknoloji  gibi birçok alanda Türkiye Yüzyılı’nın temelini atmıştır.",2,0,pozitif
AKP,"126  Türkiye Yüzyılı’nda iletişim; güvenlik ve uluslararası ilişki stratejilerinin,  doğru bilginin, bilgiye ulaşılabilirliğin ve enformasyon teknolojilerindeki  inovasyonun rotasını çizecektir.",0,0,nötr
AKP,"Son yıllarda gücü giderek artan yerli ve  milli iletişim teknolojilerimiz bugün, bakanlıklarımızın görev ve sorumluluk  alanlarında elde ettikleri başarının anahtarıdır.",2,0,pozitif
AKP,"Türkiye Yüzyılı, iletişim be- cerileri ve teknolojileri ile kazanan Türkiye’nin çağı olacaktır.",0,0,nötr
AKP,"Yerli ve milli üretimin uluslararası reka- bet gücünü artıracak, milli geliri atağa kaldıracak yüksek katma değerli  ve ileri teknoloji ürünlerinin üretimi, Türkiye Yüzyılı’nın öncelikli devlet po- litikalarından biri olacaktır.",3,0,pozitif
AKP,"AK Parti olarak; sadece demokrasiyi durağanlaştıran vesayet odakla- rıyla değil, teknolojik atılımlarımızın önünü kesen vesayet odaklarıyla da  Türkiye’yi edilgen ve buzullaşmış bir dış politikaya mahkûm eden vesayetçi  diplomasiyle de, yargıda, akademide, sendikal faaliyetlerde, sivil toplum- culukta, medyada halkın nefes borularını tıkayan tüm vesayet odaklarıyla  mücadele ettik.",0,0,nötr
AKP,Dijitalleşme ve Dijital Dönüşüm..................................................,0,0,nötr
AKP,Yüksek Teknolojilerde Öncü Türkiye ........................................272 20.,1,0,pozitif
AKP,351 Yaşam hakkı: Önce insan hayatı.....................................................................356 İşkenceye Sıfır Tolerans..................................................................................358 Dijital Tehditlere Karşı Özel Hayatın Mahremiyeti Korunacak......................358 Kişi Özgürlüğü ve Güvenliği Güçlendirilecek.................................................358 Sosyal Barışın Teminatı: Din ve Vicdan Özgürlüğü........................................359 İfade Özgürlüğünde Yeni Dönem....................................................................359 Ayrımcılık ve Nefret Suçlarıyla Etkin Mücadele.............................................359 Mülkiyet hakkına etkin koruma......................................................................,1,0,pozitif
AKP,"büyük deprem  gözlem ağına sahip olan AFAD, afet anı yönetimiyle ilgili olarak Afad- Mobil, Aydes, İKAS (İkaz ve Haberalma Sistemi), HAY (Haberalma ve  Yayma Sistemi) gibi pek çok dijital sistemi de afet yönetiminde aktif  olarak kullanmaktadır.",0,0,nötr
AKP,"•	 Tüm bunların yanı sıra, Emniyet Genel Müdürlüğünün bünyesinde afet- lerde yaşanan can kayıplarının kimliklendirilmesi üzerine uzmanlaşmış  “Afet Kriminal İnceleme (AKİ)” adında yeni bir birim kurulmuş ve yüksek  teknolojili mobil kriminal laboratuvarlarıyla afet bölgelerinde görevleri- ne başlamıştır.",1,0,pozitif
AKP,"•	 Teknolojik ve lojistik altyapımızı daha da güçlendirerek, afetlerle müca- delede hızımızı ve hareket kabiliyetimizi artıracağız.",0,0,nötr
AKP,•	 Dijital Yapı Bilgi Bankası kuracağız.,0,0,nötr
AKP,"•	 Arama kurtarma çalışmalarına yönelik ileri teknolojilerin ve teknolojik  ürünlerin (termal kamera, yüz tanıma sistemleri vb.) geliştirilmesine yö- nelik Ar-Ge projelerini destekleyeceğiz.",1,0,pozitif
AKP,"•	 Afetzedelere yönelik barınma, gıda ve su teminine yönelik Ar-Ge ve  hijyenik depolama teknolojileri gibi projeleri destekleyeceğiz.",0,0,nötr
AKP,"•	 Afet ile mücadele için gerekli insan kaynağının rol ve sorumluluklarının  belirlenerek doğru bölgelere yönlendirilebilmesi, gerekli ihtiyaç malze- melerinin nereden temin edilip hangi bölgelere yönlendirileceğinin be- lirlenmesini sağlayacak yapay zekâ özelliklerine sahip bir karar destek  sistemi oluşturacağız.",1,0,pozitif
AKP,"•	 Yerel yönetim altyapı tesisleri yapılırken teknoloji seçiminin, yer seçimi- nin ve yapım süreçlerinin afet risklerine göre değerlendirilerek yapılma- sını zorunlu hale getireceğiz.",0,0,nötr
AKP,"50 T Ü R K İ Y E  Y Ü Z Y I L I  İ ç i n  D o ğ r u  A d ı m l a r •	 Mahalle, ilçe ve il ölçeğindeki tüm yaşam alanlarını, yüksek teknoloji  ve akıllı şehir uygulamalarını içeren yenilikçi yaklaşımlarla donatacağız.",0,0,nötr
AKP,•	 Şehirlerimizin altyapısını yüksek teknoloji ürünü ve dayanıklı malzeme- lerle yenileyeceğiz.,0,0,nötr
AKP,İzolatör ve sismik damperler gibi tüm yeni yapı teknolojilerini ve  yenilikleri kamu binalarımızda bir yıl içerisinde uygulamayı hedefliyo- ruz.,1,0,pozitif
AKP,"Bu çerçevede, Sanayi ve Teknoloji Bakanlığının koordinasyonunda GAP  (Güneydoğu Anadolu Projesi) ve DAP (Doğu Anadolu Projesi) Bölge  Kalkınma İdarelerinin ve kalkınma ajanslarının katılımıyla oluşturulacak  bir program uygulamaya konulacaktır.",1,0,pozitif
AKP,"Eğitimde teknoloji kullanımını daha da etkinleştirecek, mesleki eği- timin ve hayat boyu öğrenme programlarının işgücü piyasasının ihti- yaçlarına cevap verme kabiliyetini artıracağız.",0,0,nötr
AKP,•	 Eğitimde teknolojinin imkânlarını daha iyi kullanabilmek için FATİH pro- jesini başlattık.,0,0,nötr
AKP,"Teknolojinin erişilebilirliğini yaygınlaştırmak için 2,1 mil- yon adet tablet bilgisayar dağıttık, dersliklerin yüzde 90’ına etkileşimli  tahta kurduk.",0,0,nötr
AKP,•	 Kamu yararının gözetilmesi ve gelişen teknolojiye uyum sağlanması  amacıyla 81 ilde e-Sınav salonları açtık.,0,0,nötr
AKP,"•	 Türkçe, Matematik ve Yabancı dil seferberlikleri kapsamında 3 ayrı  alanda dijital platform oluşturarak öğrencilerin hizmetine sunduk.",0,0,nötr
AKP,"•	 Aile Okulu Projesi kapsamında aile içi iletişim becerileri, çatışma ve  stres yönetimi, bilinçli ve güvenli teknoloji kullanımı, bağımlılıkla mü- cadele, sosyal duygusal beceri gelişimi, akran ilişkileri, ahlaki gelişim,  sağlıklı beslenme ve fiziksel aktiviteler, ilk yardım ve trafik, çevre koru- ma bilincinden oluşan 11 farklı ders hazırlayarak 1 milyon 147 bin 555  kişinin yararlanmasını sağladık.",2,0,pozitif
AKP,"•	 Halk Eğitimi kurslarını, Halk Eğitim Merkezleri Bilişim Ağı (HEMBA) plat- formuyla dijital ortama aktardık ve yurt içindeki ve yurt dışındaki va- tandaşlarımızın kullanımına açtık.",0,0,nötr
AKP,•	 Üniversitelerimizde üretilen bilgi ve teknolojinin ekonomiye kazandı- rılması amacıyla üniversitelerin sermaye şirketi statüsünde teknoloji  transfer ofisi kurabilmelerini sağladık.,0,0,nötr
AKP,"•	 Öğrencilerimizin yetkinliklerini; okuduğunu anlama, temel bilimlerde  yetkinlik ve bilim teknoloji yeterliliği, öğrenmeyi öğrenme, inisiyatif  alma ve girişimcilik, sosyal ve kamusal yeterlilikler, kültürel farkındalık  ve ifade alanlarında en üst düzeye çıkaracak tedbirleri alacağız.",0,0,nötr
AKP,•	 Eğitsel e-içeriklerle müfredatı bilgi teknolojileri destekli öğretime daha  uygun hale getireceğiz.,0,0,nötr
